source_line,x,y,measured_cm,repair_note,review_row,radius_px,angle_deg
124,-232.0,-2.0,191.88,,123,232.0086205294967,-179.50608310138125
123,-232.0,-2.0,196.96,,122,232.0086205294967,-179.50608310138125
128,-229.0,-1.0,171.56,,127,229.00218339570478,-179.74980167980246
125,-229.0,-1.0,186.8,,124,229.00218339570478,-179.74980167980246
129,-227.0,-2.0,166.48,,128,227.00881040171106,-179.49520443144417
127,-227.0,-2.0,176.64000000000001,,126,227.00881040171106,-179.49520443144417
203,-168.0,156.0,181.72,,202,229.2596780945136,137.12109639666144
204,-168.0,156.0,186.8,,203,229.2596780945136,137.12109639666144
206,-168.0,158.0,199.5,,205,230.62523712724936,136.7569883099082
207,-168.0,158.0,204.58,,206,230.62523712724936,136.7569883099082
194,-159.0,148.0,120.76,,193,217.22108553268947,137.05206537040868
195,-159.0,148.0,128.38,,194,217.22108553268947,137.05206537040868
381,-149.0,-189.0,184.26,,381,240.66989840858787,-128.25082521043035
382,-149.0,-189.0,191.88,,382,240.66989840858787,-128.25082521043035
42,-149.0,175.0,156.32,,41,229.83907413666634,130.4120218759275
43,-149.0,175.0,160.13,,42,229.83907413666634,130.4120218759275
57,-149.0,185.0,209.66,,56,237.54157530840786,128.84815662071443
59,-149.0,185.0,221.09,,58,237.54157530840786,128.84815662071443
60,-149.0,185.0,222.36,,59,237.54157530840786,128.84815662071443
54,-148.0,185.0,200.77,,53,236.9155967850154,128.6598082540901
56,-148.0,185.0,204.58,,55,236.9155967850154,128.6598082540901
58,-148.0,185.0,214.74,,57,236.9155967850154,128.6598082540901
36,-145.0,171.0,136.0,,35,224.2008028531566,130.2963852957068
37,-145.0,171.0,140.445,,36,224.2008028531566,130.2963852957068
32,-142.0,168.0,123.3,,31,219.97272558205938,130.2057679333694
33,-142.0,168.0,125.84,,32,219.97272558205938,130.2057679333694
72,-20.0,239.0,158.86,,71,239.83536019528063,94.78348094876746
71,-20.0,239.0,163.94,,70,239.83536019528063,94.78348094876746
69,-20.0,243.0,174.1,,68,243.82165613415063,94.70509697726625
67,-20.0,243.0,196.96,,66,243.82165613415063,94.70509697726625
247,-17.0,136.0,19.16,,246,137.05838172107534,97.1250163489018
246,-17.0,136.0,20.43,,245,137.05838172107534,97.1250163489018
278,212.0,170.0,184.26,,277,271.7425251961864,38.7256654429182
280,212.0,170.0,191.88,,279,271.7425251961864,38.7256654429182
288,280.0,-2.0,179.18,,287,280.0071427660373,-0.4092486080349388
287,280.0,-2.0,184.26,,286,280.0071427660373,-0.4092486080349388
286,285.0,-1.0,189.34,,285,285.00175438056516,-0.20103699783460577
285,285.0,-1.0,196.96,,284,285.00175438056516,-0.20103699783460577
