review_row,source_line,x,y,measured_cm,radius_px,nearest_neighbor_px,median_8_neighbor_px,local_neighbor_median_cm,local_residual_cm,abs_local_residual_cm,local_mad_cm,robust_z_vs_neighbors,repair_note
364,364,-108,-143,308.72,179.20100446147057,5.830951894845301,16.979994118084186,68.055,240.66500000000002,240.66500000000002,13.334999999999994,12.172952278172843,
291,291,201,11,59.8,201.30076999355964,31.0,73.5032466163569,162.67079999999999,-102.87079999999999,102.87079999999999,25.400000000000006,2.7317088196836576,
292,292,232,11,85.2,232.26062946612367,19.4164878389476,42.505434140654685,162.67079999999999,-77.47079999999998,77.47079999999998,25.400000000000006,2.0572180602070627,
293,293,251,15,110.6,251.44780770569466,11.40175425099138,27.592003433328024,167.7508,-57.150800000000004,57.150800000000004,15.239200000000011,2.5295085369766768,
389,389,-154,105,99.805,186.38937737972086,18.027756377319946,27.100968111029893,57.26,42.54500000000001,42.54500000000001,8.89,3.22792006320942,
295,295,262,12,136.0,262.2746651889961,9.055385138137417,19.16522310211006,175.37,-39.370000000000005,39.370000000000005,11.429200000000009,2.3234085675807172,
384,384,-151,-191,207.12,243.47895186237352,1.4142135623730951,5.322882462276066,172.83,34.28999999999999,34.28999999999999,15.239999999999995,1.5176042088223394,
298,298,171,-221,204.58,279.4315658618403,1.0,6.354101966249685,172.82999999999998,31.75000000000003,31.75000000000003,12.699999999999989,1.686226898691491,
356,356,27,-262,207.12,263.38754716197195,1.0,6.994156910889943,175.37,31.75,31.75,15.240000000000009,1.4051890822429058,
207,208,-6,247,212.2,247.07286374670934,1.4142135623730951,3.1622776601683795,182.99,29.20999999999998,29.20999999999998,13.969999999999999,1.410298860723789,
206,207,-168,158,204.58,230.62523712724936,0.0,2.414213562373095,177.91,26.670000000000016,26.670000000000016,12.700000000000003,1.4164305949008504,
299,299,169,-222,199.5,279.00716836669267,1.4142135623730951,5.06449510224598,172.82999999999998,26.670000000000016,26.670000000000016,12.699999999999989,1.416430594900852,
394,394,-148,88,59.8,172.18594600024707,18.027756377319946,33.999871934803025,33.129999999999995,26.67,26.67,6.350000000000001,2.8328611898016995,
