csv_line,x,y,measured_cm,radius_px,nearest_neighbor_px,local_neighbor_median_cm,local_residual_cm,abs_local_residual_cm,robust_z_vs_neighbors
280,201,11,59.8,201.30076999355964,31.0,148.7,-88.89999999999999,88.89999999999999,1.573811772112055
281,232,11,85.2,232.26062946612367,19.4164878389476,162.67000000000002,-77.47000000000001,77.47000000000001,2.057196816403615
282,251,15,110.6,251.44780770569466,11.40175425099138,167.75,-57.150000000000006,57.150000000000006,2.5293403480372305
377,-154,105,99.805,186.38937737972086,18.027756377319946,57.26,42.54500000000001,42.54500000000001,3.22792006320942
55,-150,186,227.44,238.94769302087852,2.8284271247461903,187.1175,40.32249999999999,40.32249999999999,4.079063164453691
284,262,12,136.0,262.2746651889961,9.055385138137417,175.37,-39.370000000000005,39.370000000000005,2.323245949308271
56,-20,245,209.66,245.81497106563708,1.0,174.10000000000002,35.559999999999974,35.559999999999974,2.0984156961494045
372,-151,-191,207.12,243.47895186237352,1.4142135623730951,172.82999999999998,34.29000000000002,34.29000000000002,1.5176042088223405
287,171,-221,204.58,279.4315658618403,1.0,172.82999999999998,31.75000000000003,31.75000000000003,1.686226898691491
345,27,-262,207.12,263.38754716197195,1.0,175.37,31.75,31.75,1.4051890822429072
196,-6,247,212.2,247.07286374670934,1.4142135623730951,182.99,29.20999999999998,29.20999999999998,1.410298860723789
61,-20,247,202.04,247.80839372386077,2.0,174.10000000000002,27.93999999999997,27.93999999999997,1.6487551898316744
288,169,-222,199.5,279.00716836669267,1.4142135623730951,172.82999999999998,26.670000000000016,26.670000000000016,1.416430594900852
371,-150,-190,199.5,242.0743687382041,1.4142135623730951,172.82999999999998,26.670000000000016,26.670000000000016,1.1803588290840428
195,-168,158,204.58,230.62523712724936,0.0,177.91,26.670000000000016,26.670000000000016,1.4164305949008504
382,-148,88,59.8,172.18594600024707,18.027756377319946,33.129999999999995,26.67,26.67,2.832861189801701
344,26,-262,202.04,263.28691574022434,1.0,175.37,26.669999999999987,26.669999999999987,1.1803588290840414
112,-233,-4,212.2,233.03433223454437,1.4142135623730951,186.8,25.399999999999977,25.399999999999977,0.999245569594956
351,-102,-128,39.48,163.67040050051813,6.708203932499369,64.245,-24.765000000000008,24.765000000000008,1.6440712262242019
289,170,-221,196.96,278.8207309365643,1.0,172.82999999999998,24.130000000000024,24.130000000000024,1.2815324430055333
349,-70,-84,12.81,109.34349546269316,4.123105625617661,35.67,-22.86,22.86,1.0117361392148927
278,277,-3,163.94,277.01624501101014,1.4142135623730951,185.53,-21.590000000000003,21.590000000000003,1.6380489873003028
194,-168,158,199.5,230.62523712724936,0.0,177.91,21.590000000000003,21.590000000000003,1.1466342911102119
197,-5,250,204.58,250.04999500099976,2.23606797749979,182.99,21.590000000000003,21.590000000000003,1.0423948101001927
350,-69,-88,14.08,111.8257573191436,4.123105625617661,35.67,-21.590000000000003,21.590000000000003,0.9555285759251765
380,-8,179,68.69,179.17868176767013,4.47213595499958,47.1,21.589999999999996,21.589999999999996,4.318
352,-105,-134,47.1,170.23806859806652,6.708203932499369,68.055,-20.955000000000005,20.955000000000005,1.8548495885606378
285,271,11,161.4,271.2231553536681,7.0710678118654755,181.72,-20.319999999999993,20.319999999999993,1.5416931645179313
332,24,-234,110.6,235.2275494069519,3.0,129.65,-19.05000000000001,19.05000000000001,0.8431134493457447
370,-149,-189,191.88,240.66989840858787,0.0,172.82999999999998,19.05000000000001,19.05000000000001,0.6744907594765958
346,-71,-99,16.62,121.82774724995944,11.180339887498949,35.67,-19.05,19.05,0.7782585686268404
308,131,-181,77.58,223.4323163734378,6.324555320336759,96.63,-19.049999999999997,19.049999999999997,1.1241512657943251
343,25,-261,194.42,262.1945842308723,1.4142135623730951,175.37,19.049999999999983,19.049999999999983,0.8431134493457427
113,-231,-5,205.85,231.05410621756974,2.23606797749979,186.8,19.049999999999983,19.049999999999983,0.6323350870093081
119,-225,-2,153.78,225.00888871331284,1.4142135623730951,171.56,-17.78,17.78,0.47214353163361655
189,-165,156,166.48,227.0704736419951,1.0,184.26,-17.78,17.78,0.9442870632672331
60,-20,244,191.88,244.8182999695897,1.0,174.10000000000002,17.779999999999973,17.779999999999973,1.0492078480747014
188,-165,155,161.4,226.38462845343543,1.0,177.91,-16.50999999999999,16.50999999999999,0.8768379873195731
283,279,14,202.04,279.35103364763125,2.23606797749979,185.53,16.50999999999999,16.50999999999999,1.2526256961708189
198,-3,249,199.5,249.0180716333656,1.0,182.99,16.50999999999999,16.50999999999999,0.7971254430177931
271,215,173,202.04,275.9601420495358,2.0,185.53,16.50999999999999,16.50999999999999,1.2526256961708189
272,285,-2,202.04,285.0070174574654,1.0,185.53,16.50999999999999,16.50999999999999,1.2526256961708189
54,-147,185,203.31,236.29219199965115,1.4142135623730951,187.1175,16.192499999999995,16.192499999999995,1.6380489873003012
251,172,146,80.12,225.61028345356956,5.0,95.36,-15.239999999999995,15.239999999999995,1.011736139214892
307,133,-187,85.2,229.4733099948663,5.830951894845301,100.44,-15.239999999999995,15.239999999999995,1.348981518953189
114,-234,-3,202.04,234.01922997907673,1.4142135623730951,186.8,15.23999999999998,15.23999999999998,0.4625079493553794
239,69,83,12.81,107.93516572461452,8.0,26.78,-13.97,13.97,1.0599140506060785
193,-168,157,191.88,229.94129685639334,1.0,177.91,13.969999999999999,13.969999999999999,0.6744907594765952
256,192,160,115.68,249.92798962901293,2.23606797749979,129.65,-13.969999999999999,13.969999999999999,0.7419398354242549
187,-164,155,156.32,225.656819085974,1.0,170.29,-13.969999999999999,13.969999999999999,0.6744907594765945
277,278,-2,171.56,278.0071941515183,1.4142135623730951,185.53,-13.969999999999999,13.969999999999999,1.059914050606078
374,180,125,97.9,219.14607000811125,20.518284528683193,83.93,13.969999999999999,13.969999999999999,0.6744907594765952
381,-82,151,63.61,171.82840277439584,22.80350850198276,50.275,13.335,13.335,1.770538243626062
385,-100,137,58.53,169.61426826773743,7.0710678118654755,45.195,13.335,13.335,1.5738117721120557
373,-101,130,50.91,164.62381358722072,7.0710678118654755,37.8925,13.017499999999998,13.017499999999998,1.7283825711587744
177,-152,142,92.82,208.00961516237658,1.0,105.52000000000001,-12.700000000000017,12.700000000000017,0.749434177196218
117,-230,-2,181.72,230.00869548780108,2.0,194.42000000000002,-12.700000000000017,12.700000000000017,0.5865137038926932
297,165,-217,166.48,272.6059427085184,1.0,179.18,-12.700000000000017,12.700000000000017,0.44966050631773086
176,-151,140,87.74,205.91503102007877,2.23606797749979,100.44,-12.700000000000003,12.700000000000003,0.843113449345744
175,-150,136,82.66,202.47468977627796,4.123105625617661,95.36,-12.700000000000003,12.700000000000003,0.843113449345744
240,77,83,14.08,113.21660655575224,8.0,26.78,-12.700000000000001,12.700000000000001,0.9635582278237077
186,-163,153,151.24,223.55759884199867,1.4142135623730951,163.94,-12.699999999999989,12.699999999999989,0.6131734177059951
59,-19,244,186.8,244.73863609981976,1.0,174.10000000000002,12.699999999999989,12.699999999999989,0.6744907594765936
322,19,-159,36.94,160.13119621110684,11.180339887498949,48.6875,-11.747500000000002,11.747500000000002,0.5309820872475325
361,-137,-176,123.3,223.03587155433092,2.8284271247461903,134.73000000000002,-11.430000000000021,11.430000000000021,0.40469445568595797
357,-129,-164,92.82,208.65521800328887,3.605551275463989,104.25,-11.430000000000007,11.430000000000007,0.40469445568595747
261,203,167,146.16,262.86498435508673,2.0,157.59,-11.430000000000007,11.430000000000007,0.40469445568595747
260,202,164,138.54,260.1922366251537,3.1622776601683795,149.97,-11.430000000000007,11.430000000000007,0.4336012025206685
353,-113,-146,62.34,184.6212338816963,8.06225774829855,73.77000000000001,-11.430000000000007,11.430000000000007,0.5058680696074471
254,184,155,100.44,240.58470441821524,5.0990195135927845,111.87,-11.430000000000007,11.430000000000007,0.4669551411761045
300,165,-221,184.26,275.80065264607333,3.0,172.82999999999998,11.430000000000007,11.430000000000007,0.43360120252066925
342,25,-258,186.8,259.20841035738016,2.23606797749979,175.37,11.430000000000007,11.430000000000007,0.40469445568595747
340,25,-255,171.56,256.2225595063791,1.4142135623730951,182.99,-11.430000000000007,11.430000000000007,0.40469445568595747
339,27,-253,163.94,254.4366325826531,2.8284271247461903,175.37,-11.430000000000007,11.430000000000007,0.40469445568595747
359,-131,-171,108.06,215.41123461880997,4.0,119.49000000000001,-11.430000000000007,11.430000000000007,0.40469445568595747
334,24,-240,125.84,241.19701490690136,3.0,137.27,-11.430000000000007,11.430000000000007,0.40469445568595747
333,24,-237,118.22,238.2120903732638,3.0,129.65,-11.430000000000007,11.430000000000007,0.40469445568595747
329,21,-216,87.74,217.0184323968819,4.0,99.17,-11.430000000000007,11.430000000000007,0.40469445568595747
337,25,-249,148.7,250.25187311986298,2.0,160.13,-11.430000000000007,11.430000000000007,0.40469445568595747
358,-131,-167,100.44,212.24985276791125,3.605551275463989,111.87,-11.430000000000007,11.430000000000007,0.40469445568595713
360,-135,-174,115.68,220.22942582679545,2.8284271247461903,127.11000000000001,-11.430000000000007,11.430000000000007,0.40469445568595747
369,-149,-189,184.26,240.66989840858787,0.0,172.82999999999998,11.430000000000007,11.430000000000007,0.40469445568595747
295,162,-213,151.24,267.6060537431842,1.4142135623730951,162.67000000000002,-11.430000000000007,11.430000000000007,0.5058680696074469
291,151,-197,108.06,248.21361767638777,3.1622776601683795,119.49000000000001,-11.430000000000007,11.430000000000007,0.6744907594765952
306,138,-190,92.82,234.82759633399138,5.830951894845301,104.25,-11.430000000000007,11.430000000000007,1.0117361392148927
202,-6,244,171.56,244.07375934335914,2.23606797749979,182.99,-11.430000000000007,11.430000000000007,0.4669551411761045
273,285,-1,196.96,285.00175438056516,0.0,185.53,11.430000000000007,11.430000000000007,0.7588021044111704
270,213,173,196.96,274.40481045346127,2.0,185.53,11.430000000000007,11.430000000000007,0.867202405041337
249,159,136,64.88,209.2295390235327,8.06225774829855,76.31,-11.430000000000007,11.430000000000007,0.4414848607483173
311,112,-156,54.72,192.04166214652486,9.848857801796104,66.15,-11.430000000000007,11.430000000000007,0.40469445568595735
253,180,151,92.82,234.94893062110327,4.47213595499958,104.25,-11.430000000000007,11.430000000000007,0.4669551411761045
250,166,140,72.5,217.1543230055529,8.06225774829855,83.93,-11.430000000000007,11.430000000000007,0.5058680696074469
310,116,-165,62.34,201.6953147695801,9.848857801796104,73.77000000000001,-11.430000000000007,11.430000000000007,0.40469445568595747
365,-144,-183,153.78,232.86262044390037,2.0,165.21,-11.430000000000007,11.430000000000007,0.40469445568595747
262,205,167,153.78,264.41255643406953,2.0,165.21,-11.430000000000007,11.430000000000007,0.40469445568595747
364,-144,-181,146.16,231.29418496797535,2.0,157.59,-11.430000000000007,11.430000000000007,0.40469445568595747
363,-141,-180,138.54,228.65038814749474,2.8284271247461903,149.97,-11.430000000000007,11.430000000000007,0.40469445568595747
347,-81,-111,24.24,137.41178988718545,11.40175425099138,35.67,-11.430000000000003,11.430000000000003,0.3794010522055849
143,-179,5,49.64,179.06981878585793,3.0,61.07,-11.43,11.43,1.214083367057871
321,22,-138,29.32,139.74262055650738,13.45362404707371,40.75,-11.43,11.43,0.5058680696074465
