review_row,source_line,x,y,radius_px,angle_deg,measured_cm,radius_roll_median_cm,radius_residual_cm,repair_note
364,364,-108.0,-143.0,179.20100446147057,-127.06173547645452,308.72,47.1,261.62,
292,292,232.0,11.0,232.26062946612367,2.7145772690010657,85.2,179.18,-93.98,
317,317,138.0,-190.0,234.82759633399138,-54.00850374202516,92.82000000000001,174.1,-81.27999999999999,
263,264,176.0,149.0,230.6013876801265,40.25094852528468,87.74,163.94,-76.2,
264,265,180.0,151.0,234.94893062110327,39.9929135728941,92.82000000000001,169.02,-76.2,
318,318,133.0,-187.0,229.4733099948663,-54.57842291946075,85.2,160.13,-74.92999999999999,
343,343,24.0,-234.0,235.2275494069519,-84.14398641457105,110.6,184.895,-74.29500000000002,
316,316,143.0,-197.0,243.4296612987004,-54.02454062622273,100.44,171.56,-71.12,
266,267,189.0,156.0,245.0652974209119,39.53615718676336,108.06,179.18,-71.12,
301,301,149.0,-192.0,243.03291958086666,-52.18704712168497,100.44,169.02,-68.58000000000001,
315,315,148.0,-198.0,247.20032362438363,-53.222813890574905,108.06,174.1,-66.03999999999999,
265,266,184.0,155.0,240.58470441821524,40.11049519329696,100.44,163.94,-63.5,
342,342,21.0,-229.0,229.96086623597503,-84.76045631457076,102.98,163.94,-60.959999999999994,
60,61,-150.0,186.0,238.94769302087852,128.8844964337146,227.44,169.02,58.41999999999999,
319,319,131.0,-181.0,223.4323163734378,-54.104600865402176,77.58,134.73000000000002,-57.15000000000002,
262,263,172.0,146.0,225.61028345356956,40.32583628886923,80.12,136.0,-55.879999999999995,
59,60,-149.0,185.0,237.54157530840786,128.84815662071443,222.36,169.02,53.34,
58,59,-149.0,185.0,237.54157530840786,128.84815662071443,221.09,169.02,52.06999999999999,
344,344,24.0,-237.0,238.2120903732638,-84.21760767763595,118.22,169.02,-50.80000000000001,
209,210,-3.0,249.0,249.0180716333656,90.69027719786507,199.5,148.7,50.80000000000001,
208,209,-5.0,250.0,250.04999500099976,91.1457628381751,204.58,156.32,48.26000000000002,
356,356,27.0,-262.0,263.38754716197195,-84.11624296355654,207.12,158.86,48.25999999999999,
