x,y,count,min_cm,max_cm,spread_cm
-149,-189,2,184.26,191.88,7.6200000000000045
212,170,2,184.26,191.88,7.6200000000000045
285,-1,2,189.34,196.96,7.6200000000000045
-159,148,2,120.76,128.38,7.61999999999999
-232,-2,2,191.88,196.96,5.0800000000000125
-168,156,2,181.72,186.8,5.0800000000000125
-168,158,2,199.5,204.58,5.0800000000000125
-20,239,2,158.86,163.94,5.079999999999984
280,-2,2,179.18,184.26,5.079999999999984
-145,171,2,136.0,140.445,4.444999999999993
-149,175,2,156.32,160.13,3.8100000000000023
-142,168,2,123.3,125.84,2.5400000000000063
-17,136,2,19.16,20.43,1.2699999999999996
