source_line,x,y,measured_cm,radius_px,reason
29,-138.0,172.0,110.6,220.51757299589528,"arc_angular_residual(arc=110.6,z=13.1,dr=30.0px)"
48,-147.0,183.0,179.18,234.72963170422264,small_arc_radius_outlier(arc=179.18)
53,-146.0,189.0,196.96,238.8242031285774,small_arc_radius_outlier(arc=196.96)
62,-18.0,244.0,163.94,244.6630335788388,duplicate_xy_spread_5.1cm
63,-18.0,244.0,158.86,244.6630335788388,duplicate_xy_spread_5.1cm
83,-18.0,216.0,87.74,216.74870241826133,duplicate_xy_spread_73.7cm
84,-20.0,214.0,85.2,214.93254755853056,"arc_angular_residual(arc=85.2,z=4.8,dr=16.8px)"
88,-18.0,209.0,75.04,209.77368757782756,duplicate_xy_spread_61.0cm
91,-20.0,202.0,67.42,202.98768435548004,"arc_angular_residual(arc=67.42,z=7.2,dr=14.8px)"
96,-18.0,191.0,54.72,191.84629264074925,"arc_angular_residual(arc=54.72,z=9.4,dr=13.5px)"
112,-230.0,3.0,196.96,230.0195643852931,duplicate_xy_spread_5.1cm
113,-230.0,3.0,191.88,230.0195643852931,duplicate_xy_spread_5.1cm
115,-224.0,4.0,161.4,224.03571143904713,"arc_angular_residual(arc=161.4,z=12.0,dr=26.8px)"
123,-210.0,3.0,110.6,210.02142747824567,"arc_angular_residual(arc=110.6,z=11.3,dr=25.9px)"
128,-200.0,8.0,85.2,200.15993605114886,"arc_angular_residual(arc=85.2,z=4.8,dr=16.8px)"
135,-190.0,9.0,67.42,190.21303845951255,"arc_angular_residual(arc=67.42,z=7.0,dr=14.4px)"
139,-180.0,10.0,54.72,180.27756377319946,"arc_angular_residual(arc=54.72,z=8.8,dr=12.8px)"
146,-148.0,12.0,26.78,148.48568954616468,"arc_angular_residual(arc=26.78,z=8.5,dr=11.0px)"
161,-113.0,105.0,26.78,154.25303886795876,"arc_angular_residual(arc=26.78,z=10.2,dr=13.1px)"
168,-134.0,129.0,54.72,186.00268815261785,"arc_angular_residual(arc=54.72,z=10.5,dr=15.2px)"
170,-140.0,136.0,67.42,195.18196638009363,"arc_angular_residual(arc=67.42,z=7.7,dr=15.8px)"
179,-157.0,153.0,120.76,219.22134932528812,duplicate_xy_spread_7.6cm
180,-157.0,153.0,128.38,219.22134932528812,duplicate_xy_spread_7.6cm
181,-159.0,155.0,136.0,222.0495440211486,"arc_angular_residual(arc=136.0,z=14.8,dr=26.0px)"
185,-163.0,160.0,161.4,228.40534144367115,"arc_angular_residual(arc=161.4,z=11.7,dr=26.1px)"
204,-5.0,228.0,110.6,228.0548179714693,"arc_angular_residual(arc=110.6,z=10.8,dr=24.7px)"
219,-12.0,178.0,42.02,178.4040358287895,"arc_angular_residual(arc=42.02,z=18.5,dr=12.4px)"
235,109.0,108.0,26.78,153.44380078712857,"arc_angular_residual(arc=26.78,z=5.2,dr=6.8px)"
251,201.0,168.0,133.46,261.9637379485947,small_arc_radius_outlier(arc=133.46)
255,209.0,173.0,161.4,271.31162894354526,"arc_angular_residual(arc=161.4,z=14.3,dr=31.9px)"
258,214.0,175.0,184.26,276.4434842784326,duplicate_xy_spread_7.6cm
260,214.0,175.0,191.88,276.4434842784326,duplicate_xy_spread_7.6cm
265,287.0,4.0,196.96,287.0278732109479,duplicate_xy_spread_7.6cm
266,287.0,4.0,189.34,287.0278732109479,duplicate_xy_spread_7.6cm
267,282.0,3.0,184.26,282.0159569953445,duplicate_xy_spread_5.1cm
268,282.0,3.0,179.18,282.0159569953445,duplicate_xy_spread_5.1cm
274,253.0,20.0,110.6,253.78928267363852,"arc_angular_residual(arc=110.6,z=11.0,dr=25.2px)"
275,264.0,17.0,136.0,264.5467822522134,"arc_angular_residual(arc=136.0,z=15.0,dr=26.3px)"
276,273.0,16.0,161.4,273.4684625327023,"arc_angular_residual(arc=161.4,z=11.9,dr=26.5px)"
284,160.0,-205.0,136.0,260.0480724789169,"arc_angular_residual(arc=136.0,z=16.2,dr=28.3px)"
289,169.0,-213.0,174.1,271.9007171744863,small_arc_radius_outlier(arc=174.1)
323,26.0,-229.0,110.6,230.471256342304,"arc_angular_residual(arc=110.6,z=8.2,dr=18.8px)"
357,-144.0,-179.0,161.4,229.73245308401684,"arc_angular_residual(arc=161.4,z=9.3,dr=20.7px)"
360,-147.0,-184.0,184.26,235.51008470976353,duplicate_xy_spread_7.6cm
361,-147.0,-184.0,191.88,235.51008470976353,duplicate_xy_spread_7.6cm
373,-146.0,93.0,59.8,173.1040149736568,"arc_angular_residual(arc=59.8,z=7.1,dr=-14.0px)"
375,-161.0,1.0,44.56,161.00310556011024,"arc_angular_residual(arc=44.56,z=5.5,dr=-9.4px)"
421,125.52,-53.36,26.78,136.3912020623031,"arc_angular_residual(arc=26.78,z=4.8,dr=-6.2px)"
591,-18.0,209.0,136.0,209.77368757782756,duplicate_xy_spread_61.0cm
592,-57.0,206.0,136.0,213.74049686477292,"arc_angular_residual(arc=136.0,z=4.5,dr=7.9px)"
624,-18.0,216.0,161.4,216.74870241826133,duplicate_xy_spread_73.7cm
