row_1based,dx,dy,r_px,theta_deg,measured_cm,model_cm,pct_err,robust_z
10,-127.0,-159.0,203.5,-128.6,92.82000000000001,118.65,-21.8,-4.51
297,-143.0,-146.0,204.4,-134.4,161.4,126.89,27.2,4.36
11,-129.0,-162.0,207.1,-128.5,100.44,127.14,-21.0,-4.33
13,-133.0,-169.0,215.1,-128.2,115.68,145.56,-20.5,-4.22
12,-129.0,-166.0,210.2,-127.9,108.06,133.91,-19.3,-3.94
9,-123.0,-155.0,197.9,-128.4,85.2,105.32,-19.1,-3.9
14,-135.0,-171.0,217.9,-128.3,123.3,151.94,-18.9,-3.84
216,229.26,16.91,229.9,4.2,85.2,104.34,-18.3,-3.72
266,-97.0,-180.0,204.5,-118.3,136.0,110.74,22.8,3.72
231,-31.0,-200.0,202.4,-98.8,110.6,90.62,22.1,3.61
15,-137.0,-173.0,220.7,-128.4,130.92000000000002,158.0,-17.1,-3.46
265,-133.0,-149.0,199.7,-131.8,136.0,112.78,20.6,3.39
299,-81.0,-201.0,216.7,-111.9,161.4,134.31,20.2,3.32
267,-56.0,-203.0,210.6,-105.4,136.0,113.18,20.2,3.32
200,-134.97,132.8,189.3,135.5,85.2,101.66,-16.2,-3.25
199,-82.2,175.28,193.6,115.1,85.2,101.09,-15.7,-3.15
254,-57.0,206.0,213.7,105.5,136.0,161.26,-15.7,-3.14
296,-169.0,-112.0,202.7,-146.5,161.4,135.88,18.8,3.11
213,205.08,-95.95,226.4,-25.1,85.2,100.86,-15.5,-3.11
201,-162.46,92.52,187.0,150.3,85.2,100.67,-15.4,-3.07
298,-107.0,-186.0,214.6,-119.9,161.4,136.21,18.5,3.07
16,-139.0,-175.0,223.5,-128.5,138.54,163.63,-15.3,-3.06
295,-181.0,-85.0,200.0,-154.8,161.4,136.45,18.3,3.04
7,-118.0,-145.0,186.9,-129.1,69.96000000000001,82.39,-15.1,-3.01
8,-120.0,-149.0,191.3,-128.8,77.58,91.16,-14.9,-2.97
269,-13.0,-215.0,215.4,-93.5,136.0,115.78,17.5,2.91
235,157.0,-170.0,231.4,-47.3,110.6,129.03,-14.3,-2.84
202,-176.14,58.36,185.6,161.7,85.2,99.12,-14.0,-2.79
168,-44.04,183.04,188.3,103.5,67.42,77.87,-13.4,-2.66
17,-142.0,-176.0,226.1,-128.9,146.16,168.63,-13.3,-2.64
209,56.83,-205.7,213.4,-74.6,85.2,98.21,-13.2,-2.62
197,16.39,201.39,202.1,85.3,85.2,98.2,-13.2,-2.62
212,163.59,-149.0,221.3,-42.3,85.2,98.2,-13.2,-2.62
230,-72.0,-187.0,200.4,-111.1,110.6,95.77,15.5,2.6
170,-103.66,151.48,183.6,124.4,67.42,77.47,-13.0,-2.56
228,-130.0,-142.0,192.5,-132.5,110.6,96.5,14.6,2.46
208,21.88,-209.07,210.2,-84.0,85.2,96.78,-12.0,-2.35
301,15.0,-225.0,225.5,-86.2,161.4,141.93,13.7,2.32
223,4.84,200.52,200.6,88.6,110.6,97.43,13.5,2.29
25,-149.0,-186.0,238.3,-128.7,207.12,182.66,13.4,2.27
285,50.0,225.0,230.5,77.5,161.4,182.14,-11.4,-2.23
229,-102.0,-169.0,197.4,-121.1,110.6,97.91,13.0,2.2
264,-169.0,-100.0,196.4,-149.4,136.0,120.6,12.8,2.17
203,-182.31,-29.19,184.6,-170.9,85.2,95.77,-11.0,-2.16
240,227.0,9.0,227.2,2.3,110.6,98.15,12.7,2.15
175,-172.95,-41.34,177.8,-166.6,67.42,75.66,-10.9,-2.13
293,-197.0,-7.0,197.1,-178.0,161.4,143.43,12.5,2.13
