x,y,measured_cm
-85,88,14.715
-90,102,19.16
-96,108,22.97
-101,114,26.018
-102,118,29.32
-107,122,33.129999999999995
-110,124,34.4
-110,125,36.305
-112,128,39.480000000000004
-113,132,43.29
-116,135,47.1
-116,139,49.64
-118,138,52.18
-116,141,53.45
-119,144,59.8
-122,148,64.88
-132,147,75.04
-131,149,76.31
-130,156,80.12
-132,155,82.66
-132,157,83.93
-134,157,86.47
-133,160,92.82000000000001
-134,162,96.63
-136,162,97.9
-138,162,102.98
-138,166,106.79
-140,167,110.6
-141,167,115.68
-142,167,119.49
-142,168,123.3
-142,168,125.84
-143,171,130.92000000000002
-144,171,134.73000000000002
-145,171,136.0
-145,171,140.445
-146,172,143.62
-146,173,146.16
-147,173,149.97
-148,173,151.875
-149,175,156.32
-149,175,160.13
-149,176,163.94
-148,176,167.75
-149,177,171.56
-150,178,174.1
-149,178,179.18
-146,181,181.72
-146,182,184.895
-146,183,189.34
-147,182,191.88
-148,184,196.96
-147,185,203.31
-150,186,227.44
-20,245,209.66
-19,240,163.94
-19,243,179.18000000000001
-19,244,186.80
-20,244,191.88
-20,247,202.04
-20,241,169.02
-20,239,163.94
-20,239,158.86
-19,237,153.78
-18,236,148.70
-19,235,143.62
-19,233,138.54
-19,232,134.73
-19,230,130.92
-18,229,127.11000000000001
-19,227,123.30
-19,226,119.49
-19,225,115.68
-19,223,111.87
-20,221,108.06
-20,220,105.52
-19,219,102.98
-19,218,100.44
-20,217,97.90
-22,215,95.36000000000001
-21,214,92.82
-20,213,90.28
-20,211,87.74
-22,209,85.20
-20,208,82.66
-19,207,80.12
-23,204,77.58
-20,204,75.04
-21,201,72.50000000000001
-20,199,69.96
-22,197,67.42
-21,196,64.88
-20,194,62.34
-22,191,59.80
-19,189,57.26
-20,186,54.72
-20,183,50.91
-19,181,49.64
-19,179,47.10
-20,176,44.56
-18,170,39.48
-17,162,34.40
-17,154,29.32
-15,144,24.24
-17,141,25.51
-17,138,21.70
-17,131,19.16
-14,121,16.62
-14,119,15.35
-15,117,14.08
-233,-4,212.2
-231,-5,205.85
-234,-3,202.04
-232,-2,196.96
-232,-2,191.88
-230,-2,181.72
-226,-1,161.4
-225,-2,153.78
-223,-2,146.16
-221,-2,138.54
-219,-2,130.92000000000002
-218,2,125.84
-217,2,120.76
-214,-2,115.68
-212,-2,110.6
-211,2,105.52
-210,2,100.44
-207,3,92.82000000000001
-205,3,87.74
-202,3,85.2
-202,4,82.66
-201,3,80.12
-200,2,77.58
-197,4,75.04
-196,4,72.5
-194,3,69.96000000000001
-192,4,67.42
-191,3,64.88
-188,3,62.34
-186,4,59.8
-182,5,54.72
-179,5,49.64
-174,-2,44.56
-168,4,39.480000000000004
-162,6,34.4
-158,6,31.86
-155,6,29.32
-150,7,26.78
-143,8,24.240000000000002
-136,8,21.7
-131,9,19.16
-128,10,20.43
-125,10,16.62
-119,10,15.35
-113,10,14.08
-110,12,12.81
-84,81,12.81
-90,83,14.08
-98,83,16.62
-105,86,19.16
-107,91,21.7
-112,94,24.240000000000002
-115,100,26.78
-119,101,29.32
-120,106,31.86
-123,107,34.4
-125,114,39.480000000000004
-130,118,44.56
-134,123,49.64
-136,124,54.72
-139,126,59.8
-142,131,67.42
-146,134,75.04
-150,136,82.66
-151,140,87.74
-152,142,92.82000000000001
-153,142,97.9
-155,144,102.98
-156,145,108.06
-157,147,113.14
-159,148,120.76
-159,148,128.38
-161,150,136.0
-162,152,143.62
-163,153,151.24
-164,155,156.32
-165,155,161.4
-165,156,166.48
-166,156,174.1
-168,156,181.72
-168,156,186.8
-168,157,191.88
-168,158,199.5
-168,158,204.58
-6,247,212.2
-5,250,204.58
-3,249,199.5
-3,248,191.88
-4,246,186.8
-5,246,179.18
-6,244,171.56
-6,241,166.48
-7,240,158.86
-6,239,153.78
-6,237,146.16
-6,233,138.54
-7,232,133.46
-6,230,125.84
-7,229,120.76
-6,226,115.68
-7,223,110.6
-8,219,102.98
-9,219,99.17
-6,218,95.36
-8,213,87.74
-8,209,80.12
-8,205,75.04
-10,200,69.96000000000001
-11,198,64.88
-12,194,59.8
-13,190,57.26
-12,185,52.18
-12,183,49.64
-13,180,47.1
-12,177,44.56
-14,173,42.02
-15,171,39.480000000000004
-19,167,36.94
-16,163,34.4
-17,155,29.32
-18,146,24.240000000000002
-16,141,21.7
-17,136,20.43
-17,136,19.16
-17,125,17.89
-17,120,15.35
-15,116,12.81
69,83,12.81
77,83,14.08
86,88,16.62
99,94,21.7
107,103,26.78
118,112,34.4
125,120,39.480000000000004
134,121,44.56
143,125,49.64
150,131,57.26
159,136,64.88
166,140,72.5
172,146,80.12
176,149,87.74
180,151,92.82000000000001
184,155,100.44
189,156,108.06
192,160,115.68
194,161,120.76
197,162,125.84
199,163,133.46
202,164,138.54
203,167,146.16
205,167,153.78
207,168,161.4
208,168,169.02
210,168,176.64000000000001
212,170,184.26
213,171,186.8
212,170,191.88
212,171,194.42000000000002
213,173,196.96
215,173,202.04
285,-2,202.04
285,-1,196.96
285,-1,189.34
280,-2,184.26
280,-2,179.18
278,-2,171.56
277,-3,163.94
161,17,34.4
201,11,59.8
232,11,85.2
251,15,110.6
279,14,202.04
262,12,136.0
271,11,161.4
278,12,186.8
171,-221,204.58
169,-222,199.5
170,-221,196.96
149,-192,100.44
151,-197,108.06
156,-205,125.84
158,-210,136.0
160,-211,143.62
162,-213,151.24
163,-214,158.86
165,-217,166.48
167,-218,174.1
165,-218,171.56
165,-221,184.26
156,-208,130.92000000000002
153,-205,123.3
152,-204,115.68
148,-198,108.06
143,-197,100.44
138,-190,92.82000000000001
133,-187,85.2
131,-181,77.58
125,-173,69.96000000000001
116,-165,62.34
112,-156,54.72
101,-150,47.1
93,-140,39.480000000000004
80,-129,31.86
78,-118,26.78
73,-114,24.240000000000002
68,-107,20.43
37,-96,14.08
12,-105,14.08
13,-128,21.7
22,-138,29.32
19,-159,36.94
14,-169,44.56
14,-180,52.18
19,-188,59.8
21,-199,67.42
24,-205,73.77
21,-212,80.12
21,-216,87.74
22,-223,95.36
21,-229,102.98
24,-234,110.6
24,-237,118.22
24,-240,125.84
25,-244,133.46
25,-247,141.08
25,-249,148.7
27,-250,156.32
27,-253,163.94
25,-255,171.56
24,-256,179.18
25,-258,186.8
25,-261,194.42000000000002
26,-262,202.04
27,-262,207.12
-71,-99,16.62
-81,-111,24.240000000000002
-88,-120,31.86
-70,-84,12.81
-69,-88,14.08
-102,-128,39.480000000000004
-105,-134,47.1
-113,-146,62.34
-120,-150,69.96000000000001
-122,-154,77.58
-125,-160,85.2
-129,-164,92.82000000000001
-131,-167,100.44
-131,-171,108.06
-135,-174,115.68
-137,-176,123.3
-139,-178,130.92000000000002
-141,-180,138.54
-144,-181,146.16
-144,-183,153.78
-146,-184,161.4
-147,-186,169.02
-148,-188,176.64000000000001
-149,-189,184.26
-149,-189,191.88
-150,-190,199.5
-151,-191,207.12
-101,130,50.910000000000004
180,125,97.9
-136,-126,71.23
121,75,26.78
-154,105,99.805
33,-169,45.195
138,122,57.895
-8,179,68.69
-82,151,63.61
-148,88,59.8
-128,-131,66.15
-163,-4,44.56
-100,137,58.53
