x,y,measured_cm
-105,100,14.715
-110,114,19.16
-116,120,22.97
-121,126,26.018
-122,130,29.32
-127,134,33.129999999999995
-130,136,34.4
-130,137,36.305
-132,140,39.480000000000004
-133,144,43.29
-136,147,47.1
-136,151,49.64
-138,150,52.18
-136,153,53.45
-139,156,59.8
-142,160,64.88
-152,159,75.04
-151,161,76.31
-150,168,80.12
-152,167,82.66
-152,169,83.93
-154,169,86.47
-153,172,92.82000000000001
-154,174,96.63
-156,174,97.9
-158,174,102.98
-158,178,106.79
-160,179,110.6
-161,179,115.68
-162,179,119.49
-162,180,123.3
-162,180,125.84
-163,183,130.92000000000002
-164,183,134.73000000000002
-165,183,136.0
-165,183,140.445
-166,184,143.62
-166,185,146.16
-167,185,149.97
-168,185,151.875
-169,187,156.32
-169,187,160.13
-169,188,163.94
-168,188,167.75
-169,189,171.56
-170,190,174.1
-169,190,179.18
-166,193,181.72
-166,194,184.895
-166,195,189.34
-167,194,191.88
-168,196,196.96
-167,197,203.31
-170,198,227.44
-39,252,163.94
-39,255,179.18
-39,256,186.8
-40,256,191.88
-40,259,202.04
-40,253,169.02
-40,251,163.94
-40,251,158.86
-39,249,153.78
-38,248,148.7
-39,247,143.62
-39,245,138.54
-39,244,134.73
-39,242,130.92
-38,241,127.11000000000001
-39,239,123.3
-39,238,119.49
-39,237,115.68
-39,235,111.87
-40,233,108.06
-40,232,105.52
-39,231,102.98
-39,230,100.44
-40,229,97.9
-42,227,95.36000000000001
-41,226,92.82
-40,225,90.28
-40,223,87.74
-42,221,85.2
-40,220,82.66
-39,219,80.12
-43,216,77.58
-40,216,75.04
-41,213,72.50000000000001
-40,211,69.96
-42,209,67.42
-41,208,64.88
-40,206,62.34
-42,203,59.8
-39,201,57.26
-40,198,54.72
-40,195,50.91
-39,193,49.64
-39,191,47.1
-40,188,44.56
-38,182,39.48
-37,174,34.4
-37,166,29.32
-35,156,24.24
-37,153,25.51
-37,150,21.7
-37,143,19.16
-34,133,16.62
-34,131,15.35
-35,129,14.08
-254,9,202.04
-252,10,196.96
-252,10,191.88
-250,10,181.72
