x,y,measured_cm
-3,-54,14.08
-1,-76,26.78
-2,-93,39.48
-4,-119,59.8
-7,-153,85.2
-11,-176,110.6
-15,-193,136.0
-15,-208,161.4
-2,-222,186.8
-2,-232,212.2
-41,-55,21.7
-53,-71,34.4
-69,-88,49.64
-89,-112,67.42
-111,-136,90.28
-125,-154,113.14
-134,-163,133.46
-142,-170,158.86
-146,-175,179.18
-154,-182,199.5
-157,-186,217.28
-58,0,16.62
-82,-1,29.32
-113,0,49.64
-148,-2,67.42
-187,-2,90.28
-214,-5,100.44
-221,-4,113.14
-226,-4,123.3
-230,-5,133.46
-26,45,11.54
-34,57,19.16
-39,65,24.24
-45,75,31.86
-53,84,42.02
-59,93,49.64
-77,115,62.34
-89,133,75.04
-99,146,85.2
-108,162,100.44
-117,176,115.68
-126,186,136.0
-135,195,161.4
-138,200,179.18
-143,206,199.5
-145,211,219.82
-147,214,237.6
-132,192,148.7
-116,172,113.14
-93,140,82.66
1,50,11.54
3,64,16.62
3,75,24.24
2,85,31.86
4,100,44.56
4,116,57.26
2,139,69.96
2,162,85.2
2,146,75.04
1,170,90.28
2,188,105.52
3,199,118.22
1,210,133.46
2,216,146.16
3,221,153.78
3,224,163.94
4,229,171.56
3,231,184.26
4,234,196.96
3,235,204.58
38,37,11.54
39,49,16.62
44,57,21.7
46,66,29.32
50,74,36.94
55,81,44.56
60,87,52.18
65,98,62.34
72,109,72.5
79,123,82.66
85,136,92.82
92,148,105.52
98,158,118.22
100,161,125.84
102,167,133.46
104,170,143.62
107,175,153.78
111,181,169.02
115,191,186.8
117,193,199.5
118,195,212.2
119,196,224.9
120,198,237.6
55,8,14.08
70,7,21.7
81,6,29.32
89,6,36.94
99,5,47.1
109,3,59.8
118,4,69.96
129,3,80.12
145,3,90.28
156,3,100.44
174,4,110.6
179,4,125.84
183,5,136.0
188,4,146.16
35,-38,11.54
40,-47,16.62
45,-58,24.24
50,-66,31.86
54,-72,36.94
57,-77,42.02
59,-82,47.1
63,-89,54.72
66,-93,59.8
70,-100,67.42
75,-108,75.04
80,-116,82.66
85,-123,90.28
88,-130,97.9
93,-141,105.52
95,-142,113.14
99,-149,128.38
102,-156,136.0
104,-157,146.16
105,-159,153.78
107,-163,161.4
109,-164,171.56
109,-166,179.18
112,-173,189.34
114,-174,196.96
117,-177,212.2
118,-180,224.9
120,-184,237.6
42,-83,42.02
53,-27,16.62
-30,56,16.62
-120,56,54.72
39,108,64.88
